sentence,aspect_term,polarity
"one plus, as the stereo speakers are bloody brilliant, i'm on my one plus 8 pro now, which also has 12gb ram, wireless charging and it's a little bit slimmer or wide as other phones",stereo speakers,Positive
"it's really unfortunate how people automatically assume iphones are better because the majority of people here in the us have them, when that's not even true.",people,Negative
i just didn't like the s20 generation as much as the previous two generations.,the s20 generation,Negative
"finally one month after end of warranty, after official update, the phone overheated affecting the motherboard and the phone is stuck in a booting loop and unusable.",the phone,Negative
"if i was buying a new phone now, it'd be a toss-up between oppo and samsung.",samsung,Neutral
won't hear a bad word about messina.,messina,Positive
"in particular i love how apple pay just works, every time, unlike google pay which was always a bit of a hassle.",google pay,Negative
those 'cheeseburgers' rock.,cheeseburgers,Positive
"sydney is simply too expensive to take large risks with a menu so you end up seeing the same thing again and again, of course if you venture out to the shadowy lands of the poorly written english menus you can find some great stuff there.",sydney,Neutral
"it's so busy you can't hear anything, and the times i've been there they have either messed up our order, run out of their signature dish or a collection of other stuff ups",our order,Negative
"also, for a mid price lunch that's genuinely good, check out kitchen by mike in the city.",kitchen by mike,Positive
i've been there twice for dinner and both experiences were 100 value for money.,money,Positive
reference was a manager at one of his restaurants for several years.,a manager,Neutral
they were so disappointed by the food and service the last time we went.,service,Negative
huawei best for the look and also its capability and photography.,capability,Positive
what a piece of crap the nexbit robin was lmao,nexbit robin,Negative
"sure, my fridge is stocked and there are plenty of places along the way but it is the 130 mile trip that is more interesting i like to drive.",the 130 mile trip,Positive
i love the clean software of pixel phones as well as the timely and consistent updates.,pixel phones,Positive
i like what oneplus is doing with their hardware.,oneplus,Positive
one of our vendors took us there for lunch a few months back.,our vendors,Neutral
i wish you didn't tell me this.,this,Negative
their rotis are still the best in my opinion,rotis,Positive
worst phone i had was a 13 pro max.,phone,Neutral
i've used dell for years and not had a problem.,dell,Positive
i'm still using an ip13 since it's released and the performance is still top notch with 88 battery health left.,performance,Positive
kitchen by mike is everything wrong with the sydney food scene.,kitchen,Negative
i'll never forget the reaction from the waiter when at the end of our meal i asked him to take a photo of my friend and i sitting at our table she lives outside of sydney and since we had this place booked months beforehand we wanted a nice photo.,this place,Positive
"asus zenbook, rog, etc. asus makes really solid mid-range and gaming laptops.",asus zenbook,Positive
"avoid the tumble dryer, always line dry, and out of direct sun if it's coloured.",direct sun,Positive
food is amazing and interesting plus woolloomooloo wharf is a great spot.,food,Positive
fantastic italian food cosy neighbourhood vibe.,italian food,Positive
the messages app is automatically linked to the gmail app.,the gmail app,Neutral
what is their software policy like how long do they typically support their devices,software policy,Neutral
uniqlo has the best to offer in this segment high quality basics but at affordable prices.,uniqlo,Positive
price is around 300-400 including wine.,price,Neutral
"and it was pretty great late lunch, got great personal attention from the shift manager - tried sydneys one not long ago and the service was terrible eg a waitress spilt half a cocktail all over a friends shirt and just said ""oops sorry"" and walked away - we had to chase down the manager ourselves music was too loud - food was decent at least",music,Negative
"alcatel , 60hz , sl charger 2.5 hours and 4000mah and bad batteri bad processor , everything bad only the price was 400zlotych which is really cheap but should have researched more detailed the phone market to buy better smth",everything,Negative
"went there for the first time a few months ago and they gave us an awful table, service was just strange one of our waiters seemed extremely off putting , and very overpriced drinks.",waiters,Negative
i'm a huge fan of hubert.,hubert,Positive
"ho jiak is pretty good, but not worth the price really",ho jiak,Positive
"maybe back in the day people didn't know as much about malaysian food and there weren't as many around, so mamak had the uniqueness factor going for it",mamak,Neutral
a great option for more elevated indian food is abhi's in concord.,abhi's,Positive
"rockpool bar and grill - it was just really quite average and the worst thing for me is that the worst dishes were the steak the best was the hiramasa kingfish but frankly, there's about 35,678 restaurants in sydney which have the same dish on their menu executed to the same quality.",the steak,Negative
chin chin was soooo average and upsettingly expensive for mid thai,chin chin,Negative
i recently had a very nice dinner at bon vin in surry hills.,bon vin,Positive
uniqlo's also surprisingly durable for the price point.,uniqlo,Positive
merivale own local pubs like allawah hotel and they have hands down the cheapest and highest quality pub food in the entire st george,allawah hotel,Positive
anyone remember siemens they were affordable and very cool.,siemens,Positive
i'd say oncore is the best fine dining experience in sydney,oncore,Positive
excellent machine but weighs a ton.,machine,Positive
i hear great things about honor.,honor,Positive
chinese food cooked by people who have no idea what chinese food is supposed to taste like.,chinese food,Negative
"side of butter lettuce, fat chips and wagyu gravy dessert to share wine their list is huge and extensive and you will find something in your price range, they've been known for one of the biggest private wine collections before and their sommeliers are excellent.",sommeliers,Positive
"dear saint eloise is fantastic, absolutely stellar wine list.",saint eloise,Positive
the gap factory has great sales and i think the quality of gap clothing is very nice.,quality,Positive
gelatissimo is so much better for gelato.,gelato,Neutral
i first had it in granville 12-13 years ago and couldn't understand why everyone was going crazy for this overcooked chalky textured chicken with garlic sauce.,chicken,Negative
"awful atmosphere, food only tastes half decent because it's loaded with sugar, fat, salt and the wait staff don't have a single clue.",atmosphere,Negative
"i might be a little biased since i used to work there, but national standards is a canadian brand that does lots of excellent high-quality mens basics.",national standards,Positive
"the beef tartare, and the bread and butter with some of the xo sauce from the escargot is great.",escargot,Positive
the best upscale dining for cantonese food is pearl.,cantonese food,Neutral
had a disgusting chicken wrap at the bankstown store drive through.,chicken wrap,Negative
"you think that's weird, try hakkasan, which is a shitty chinese restaurant slash nightclub and you can easily drop 300 a head on mediocre yum cha.",hakkasan,Negative
but i quite like basics from club monaco and todd snyder.,todd snyder,Positive
the 4k screen of the sony xperia 1 was gorgeous and i loved the 219 aspect ratio.,the 4k screen,Positive
uniqlo does a nice job for undershirts and such.,undershirts,Neutral
"agreed, their roti is the best the only complaint i hear from some friendsfamily is that their curries are too spicy admittedly the people who have said this have low spice tolerance",their curries,Negative
fantastic curved displays and very good ui with extra moto apps like smart connect and unplugged.,curved displays,Positive
"their earbuds are phenomenal, charging options are incredible, cases are simple and effective and all very affordable without sacrificing a lot.",earbuds,Positive
"i have to say we went in july and loved sokyo, everything was divine loved the cocktails, didnt love the 600 bill tho",everything,Positive
"unfortunately, after about two weeks with the new device, the earpiece stopped working.",the earpiece,Negative
